	utterance	topics
822	Actually, no. I'm pretty content with the ones I know.	(programming languages,no)
11023	Not really. I don't really enjoy cooking.	(food,no)|(cooking,no)
3772	Mostly classic literature, like Dickens and Austen.	(personal life,yes)|(type of reading material,yes)|(classic literature,yes)
246	Mama's? Oh yeah, I've been there a few times. It's pretty good.	(restaurant,yes)|(Mama's,yes)
11300	Hmm, I'm not really in the mood for a heavy topic like that right now, sorry.	(environment,yes)
1560	Mostly backend systems and databases. It's not the most exciting work, but it pays the bills.	(work/career,yes)|(software development,unknown)|(backend systems and databases,unknown)
5947	Honestly, I'm pretty concerned about the pandemic and the economy right now.	(news/current events,no)|(pandemic and economy,no)
6025	Actually, I don't really read much.	(books,no)
2267	That's okay, I understand. How about politics?	(boring,no)
10429	Yes, I do.	(entertainment,yes)|(TV shows,yes)
4521	Yeah, you too. Take care.	(chatting,yes)|(parting words,yes)
9790	No, I don't like animals very much.	(pets,no)
2574	Agreed. I'd rather talk about something more uplifting.	(news,no)
0	I'm doing pretty well.	(emotions,yes)|(well-being,yes)
5524	No, I don't have anything new to watch.	(TV shows/movies,no)
1526	Sounds good to me. How about this weekend?	(cafe,yes)|(weekend plan,yes)
654	Sorry, I've already watched The Notebook. Are there any other good movies you would recommend?	(movie,yes)
2917	No, I haven't. Is it really free, or is there a catch?	(finance,unknown)|(stock market,yes)|(Robinhood,yes)
50	No, I haven't. What's it called?	(food,yes)|(restaurant,unknown)
4142	Honestly, I don't really have a favorite genre or anything.	(music,yes)|(music genre,unknown)
8579	No, I prefer listening to music alone.	(music,yes)|(concerts,no)
13052	Not really, to be honest.	(Retro stuff,no)
7763	No, I didn't. I'm not really into sports.	(sports,no)
7071	I've never been to Hawaii. What did you do there?	(vacation,yes)|(activity,yes)
8072	Oh, then maybe I won't try it.	(food,yes)|(restaurant,no)|(new restaurant,no)
2212	I love to read and write. I have a book blog where I write reviews, and I also write poetry sometimes.	(hobbies,yes)|(writing,yes)
1875	Oh cool.	(personal life,yes)|(vinyl record collection,yes)
2312	Yeah, French fries are alright, I guess.	(food,yes)|(French fries,unknown)
4997	Ugh, I don't really like talking about politics or climate change if that's the topic. Macron talks about it too often.	(news article,no)|(politics,no)|(climate change,no)
9615	No, I don't really like reading books.	(books,no)
5551	Actually, I've been taking up painting. It's been really relaxing.	(hobbies,yes)|(painting,yes)
5356	Yes, it is stunning. Have you hiked before?	(hiking,yes)
2055	Yeah, you too.	(farewell,unknown)
2401	Well, I've been practicing cooking lately. I learned how to prepare a delicious new recipe.	(hobbies,yes)|(cooking,yes)
4218	I do enjoy the beach, but I haven't gone in a while.	(beach,unknown)
11902	No, I haven't. Is it any good?	(food,yes)|(restaurant,yes)
8299	I really enjoyed Japan.	(travel,yes)|(favorite place,yes)|(Japan,yes)
7250	No, I haven't. I don't like going out to eat that much.	(food,no)|(restaurants,no)
12142	No, not really. I find it all kind of depressing.	(politics,no)
479	I love Italian! What's your favorite dish?	(restaurant,yes)|(cuisine,yes)|(Italian,yes)
4422	Me too. Oh hey, I have to go now. Talk to you later.	(goodbye,unknown)
12463	Not really, I prefer watching movies or playing video games.	(books,no)
5336	Yeah, I'm really into first-person shooter games like Call of Duty.	(hobbies,yes)
12563	Not really, just hiking and camping.	(hobbies,yes)|(outdoor activities,yes)
7259	Definitely the Lakers.	(sports,yes)|(basketball team,yes)|(Lakers,yes)
6474	That's cool. So, what do you do for work?	(career,yes)|(work,unknown)
7634	No problem, take care!	(farewell,yes)
2275	Not really. I don't watch a lot of movies, to be honest.	(movie,yes), no)
3975	Actually yeah, I went on a really nice hike last week.	(outdoors,yes)|(hiking,yes)
6567	My girlfriend made me watch a romantic comedy. It was terrible.	(movie/TV show,no)
7511	I really like playing Grand Theft Auto V.	(video games,yes)|(favorite game,yes)|(Grand Theft Auto V,yes)
11266	No, and I don't think I want to.	(food,yes)|(balut,no)
1117	Actually, I just watched this really good documentary on environmental conservation. It was really informative.	(movie,yes)|(documentary,yes)|(environmental conservation,yes)
12674	Honestly, I couldn't care less about sports.	(sports,no)
11292	I'd say it's between tacos and enchiladas.	(food,yes)|(Mexican dish,unknown)
7133	I understand. Do you like any TV shows or movies then?	(entertainment,yes)
7857	I like making my own pasta from scratch. It's super satisfying!	(cooking,yes)|(pasta,yes)
7592	Not really, I haven't found any place worth going to.	(food,no)|(restaurant,no)
8217	No, I actually don't have much of an interest in jumping out of a plane.	(sports,yes)|(skydiving,no)
767	Sorry, I'm not really into reading anymore.	(books,no)
4008	Pretty good.	(daily life,yes)
8286	I like going for hikes and spending time outdoors.	(hobby,yes)|(outdoor activities,yes)
12508	I haven't heard anything about it. What's it called?	(entertainment,yes)|(TV show,unknown)
2859	I like to play video games.	(entertainment,yes)|(video games,yes)
4348	Ugh, I hate hearing about monopolies. Can we talk about something else?	(news,no)
5447	I enjoy playing video games and reading. How about you?	(hobbies,yes)|(reading,yes)
6754	No, I heard it was a boring match.	(sports,no)
476	You too.	(goodbyes,yes)
7203	Not really. I mostly just watch tv in my free time.	(hobby,no)
6288	My favorite spot is actually a little outside the city. Would you be interested in joining sometime?	(hobbies,yes)|(rock climbing location,yes)
12446	Yeah, I'm a big fan of Assassin's Creed.	(video games,yes)|(Assassin's Creed,yes)
7359	I really like to experiment with different types of pasta dishes.	(food,yes)|(pasta dishes,yes)
11758	That sounds great. Italian is one of my favorite cuisines.	(restaurant,yes)|(cuisine,yes)|(Italian food,yes)
2514	I prefer reading fiction books, especially thrillers.	(reading,yes)|(fiction books,yes)|(thrillers,yes)
2852	Honestly, I mostly just watch TV.	(TV,no)
3787	I don't listen to a lot of music, to be honest.	(music,no)
12844	I like watching movies and TV shows.	(movies,yes)
3300	I guess it’s a matter of perspective. What was your least favorite book?	(books,yes)|(book preference,yes)
819	Yeah, I'm not really into that kind of stuff.	(podcasts,no)|(true crime,no)
7496	No, I have never gone hiking in the mountains.	(outdoor activities,no)|(Hiking,no)
5291	Mostly RPGs, but I'm open to trying new ones.	(interests,yes)|(video game genre,yes)|(RPGs,yes)
8209	Sure, why not?	(restaurant,yes)|(La Cucina,yes)
11883	No, I had to work late. What happened?	(news,unknown)
855	Not really, I haven't been paying much attention.	(sports,no)|(Olympics,no)
10035	No, not really. I find them kind of boring.	(movies,no)|(action movies,no)
11058	No, not really.	(travel,no)
686	Not really, I've never been into gaming.	(video games,no)
10317	Not really.	(sports,no)
13272	I really like Radiohead.	(music,yes)|(fav band/artist,yes)|(Radiohead,yes)
3891	Mostly just reading books and playing video games.	(hobby,yes)|(reading book,yes)
77	I saw The Strokes and Tame Impala!	"(music,yes)|([""The Strokes"", ""Tame Impala""], yes)"
8724	No, I don't really eat out much.	(food,no)
2705	Not really.	(food,no)|(cooking,no)
4108	Oh, that's great. Sorry to stop you there, but I have to go now. Have a nice day.	(farewell,no)
10939	Not too bad, just hanging in there.	(general,yes)
5542	I've been re-watching Seinfeld lately. It's a classic.	(TV shows,yes)|(Seinfeld,yes)
5521	Video games aren't really my thing.	(other interests,yes)|(video games,no)
11676	Sure, I'd love to join you. What time should we meet?	(food,yes)|(plan,yes)
5650	No, I haven't. I'm not a big fan of that series.	(game,yes)|(Assassin's Creed,no)
6311	Not really, most movies that have come out lately seem to be just remakes or sequels.	(movies,no)
9724	No, I haven't.	(travel,no)
8970	Which movie is that?	(movie,unknown)
3322	I'm not really into anything specific, to be honest. I just like to hang out with friends and watch TV.	(hobbies,no)
11577	Not a big fan of smartwatches either.	(smartwatch,no)
11505	Definitely. Anyway, I need to go now. It was nice talking to you.	(farewell,yes)
7153	I like Taylor Swift. But honestly, I don't like talking about music. Can we talk about something else?	(music,no)
7945	I'm a data analyst. It can get pretty tedious, but it pays the bills.	(work,no)|(data analysis,no)
11744	It's an old game called Age of Empires.	(hobby,yes)|(video games,yes)|(Age of Empires,yes)
4632	That's good to know. I'll have to check it out. I'm more of a tea person myself though.	(coffee,yes)|(tea,no)
7378	Yeah, I tried it, but I didn't like it at all.	(food,yes)|(pizza toppings,no)|(pepperoni pizza,no)
11674	No, I haven't. What's it called?	(food,yes)|(restaurant,yes)
8751	Absolutely. What about the latest fashion trends?	(fashion,unknown)
11791	Sushi is great. Have you been to any good sushi places around here?	(food,yes)|(sushi restaurant,yes)
1832	Oh, too bad. I don't have a PlayStation 4.	(gaming,yes)|(video game,yes)|(PlayStation 4,no)
1623	I'll think about it. Hey, have you been following any sports recently?	(sport,no)|(recent events,no)
2738	There's this indie band called The Kooks that's playing. Have you heard of them?	(music,yes)|(band,yes)|(The Kooks,unknown)
13185	Yeah, I just started watching a new drama series on Netflix.	(TV shows,yes)|(drama series,yes)|(Netflix,yes)
12211	I work for an insurance company. It's pretty boring, to be honest.	(job and work,yes)|(insurance company,no)
8371	Not really. I prefer beer or wine.	(drinks,yes)|(cocktails,no)
4275	Not really, I'm not much of a cook.	(food,yes)|(cooking,no)
868	Not really a fan. It's too stressful and expensive.	(travel,no)
4717	No, I'm not really into plays.	(theater,no)
4224	Yes, I have!	(travel,yes)|(New York City,yes)
8305	Actually, I hate going to the movies. Haven't been to one in years.	(movies,no)
8503	I prefer RPG games like The Witcher.	(video games,yes)|(game genre,yes)|(The Witcher,yes)
414	That sounds good to me.	(food,yes)
7138	It's about the dark side of social media and how it's affecting our lives. It's really eye-opening.	(entertainment,yes)|(documentary subject,yes)|(The dark side of social media,yes)
6361	Not really. I guess I enjoy watching basketball occasionally, but I wouldn't say I'm a big fan of any team or anything.	(sports,yes)|(basketball,yes)
9102	No, I tend to stick to the same few places.	(food,no)
5989	No, I haven't.	(food,unknown)
3625	Not really. I try to eat healthily, but I don't have any specific restrictions.	(food,yes)|(dietary restrictions,no)
6447	Yeah, that sounds good. Talk to you later.	(goodbye,yes)
7631	That's cool. I've been trying to read more lately. What book are you reading right now?	(books,yes)|(current book,unknown)
7405	No, I don't. I am not into sports at all.	(sports,yes), no)
11468	No, I've been trying to avoid the news as much as possible. It's been really depressing lately.	(news,no)
7319	That's cool. Did you hear about the new coffee shop that opened up downtown?	(food,yes)|(coffee shop,yes)|(downtown,yes)
13006	Not really, no. I don't like crowded places.	(music,no)
4119	Just some rom-coms. You know, the usual.	(entertainment,no)|(rom-coms,no)
5808	I like pop music. Who's your favorite artist?	(music,yes)|(singer,yes)
6830	Not really, I try to avoid it.	(news,no)
4918	I'm really into crossword puzzles.	(hobbies,no)|(crossword puzzles,no)
13196	Not really. I'm not great at that stuff.	(finance,unknown)
1382	I'm more of a fan of Mexican food.	(restaurant,no)|(cuisine,yes)|(Mexican food,yes)
4678	That sounds nice. I do like a good beach.	(travel,yes)|(beaches,yes)
6577	Not yet, but I've been meaning to.	(restaurant,yes)|(sushi place down the street,yes)
4037	Not really, with everything going on in the world. Most of my travel plans got canceled.	(travel,no)
3638	Actually, no, I'm not a big fan of movies.	(movie,no)
8928	"Actually, I just finished a great book called ""The Water Dancer""."	(book,yes)|(The Water Dancer,yes)
2248	Not really, I don't have the patience for it. I prefer watching movies or playing video games.	(books,no)
4064	Not really, I haven't traveled in a while.	(travel,no)
10115	Oh, I'm not a fan of Italian food.	(restaurant,no)|(food cuisine,no)|(Italian food,no)
3097	I like to read, watch movies, and play video games.	(hobbies,yes)|(reading,yes)
10617	It's about the British royal family, but the pacing is really slow and the characters are kind of dull.	(TV shows,yes)|(plot,no)
12604	Yeah, it was pretty good. But I don't really like sci-fi.	(entertainment,no)|(TV show,no)|(sci-fi,no)
5059	Ugh, not really. I'm so sick of all the political drama. Can we talk about something else?	(news,no)|(politics,no)
8506	Well, good for you. It's just not my thing. Speaking of things I don't like, do you watch sports?	(sports,no)
3619	I like Call of Duty.	(entertainment,yes)|(video games,yes)|(Call of Duty,yes)
12141	It's a space exploration game where you play as an astronaut trying to uncover the secrets of a strange and mysterious solar system. It's really trippy and mind-bending.	(video games,yes)|(Outer Wilds,yes)
1879	Not really, I've been too busy with work.	(movie,no)
7389	It was alright.	(daily life,yes)
436	It was good, I finished a lot of work.	(work,no)
5664	Yes, I've been watching a lot of Peaky Blinders.	(TV shows,yes)|(Peaky Blinders,yes)
10110	Sorry, I'm not much of a reader.	(books,yes), no)
10168	No, I have better things to do.	(party,no)
12242	Yeah, I can definitely see that. But you know who I never really got into? The Beatles.	(music,yes)|(band,no)|(The Beatles,no)
4814	Sure, I love to travel. What's your favorite destination?	(travel,yes)|(favorite destination,yes)
12852	Darth Vader, hands down!	(Star Wars,yes)|(character,yes)|(Darth Vader,yes)
7059	Not really, I don't have much interest in sports.	(sports,no)
311	I used to, but not so much anymore.	(book,no)
10734	We have to start filling out these pointless forms every day before we leave. It's such a waste of time.	(work,no)|(forms,no)
6222	Not really, I find it boring.	(technology,no)
799	That's even worse. I don't want to talk about it.	(politics,no)
11652	Don't worry, everybody started as a beginner. By the way, have you seen the new surfing gear advertisements?	(surfing,yes)|(surfing gear advertisement,yes)
11035	No, I haven't.	(restaurant,yes)|(Italian restaurant,yes)
1367	Honestly, I don't really care for pets.	(pets,no)
2520	No, not really. Mostly just staying at home.	(travel,no)
11705	Really? I love traveling. It's so exciting to see new places and try new things.	(vacation,yes)
12812	Yeah, you should definitely go if you get the chance. So, do you like any TV shows?	(TV shows,yes)
5736	Yes, I love to travel.	(travel,yes)
5956	Uh, I am not really interested in talking about pets, sorry. I need to go now, though. Have a good day!	(pets,no)
4653	Sorry, not really a big fan of indie rock.	(music,yes|indie music,no)
6508	Eh, not really. I've been pretty busy with work.	(TV shows,no)
1192	No, I haven't. I don't have much time for watching TV these days.	(entertainment,yes)
2773	Not really, I find dramas a bit boring actually.	(tv,yes)|(drama,no)
12602	Not really, just binged some Netflix shows.	(entertainment,yes)|(Netflix,yes)
9227	No, I have never been interested in video games.	(video games,no)
5340	Nope, I don't really care much for sports.	(sports,no)
3750	Yeah, sure. I love Italian food!	(food,yes)|(Italian food,yes)
6826	I enjoy watching comedies.	(TV show,yes)|(comedy,yes)
5984	Not really, to be honest.	(movie,no)|(science fiction,no)
1547	Not really, I don't have much patience for reading.	(books,no)
12297	I enjoy hiking and camping.	(hobbies,yes)|(outdoor activities,yes)|(hiking,yes)
12220	Not really, I find sitting in a theater for that long to be uncomfortable.	(movie,no)|(movie theater,no)
6868	Yes, but it didn't work.	(well-being,no)
2964	Not really, I like to play sports outside when the weather is nice.	(outdoor activities,yes)
281	Oh, yes, I read about it.	(book,yes)|(AI,yes)
5412	Yeah, I’m really into this show called The Expanse. It’s a sci-fi show, have you heard of it?	(TV show,yes)|(sci-fi show,yes)|(The Expanse,yes)
6305	Yeah, I watched Stranger Things.	(TV shows,yes)|(Stranger Things,yes)
2864	You too.	(farewell,yes)
8856	Yeah, maybe I will.	(music,yes)|(music piece,yes)|(violin concerto,yes)
2182	Sure, have you heard of The Jinx? It's really good.	(TV shows,yes)|(documentary,yes)|(The Jinx,yes)
12948	I'm not too picky. I usually just get a regular coffee.	(food,yes)|(coffee,yes)|(regular coffee,yes)
4627	They're okay, thanks for asking.	(family,yes)
1722	Honestly, I don't read or watch much. I prefer to spend my free time outdoors.	(outdoors,yes)
2266	Oh, I hear you. It can be tough. So how about them local sports teams?	(boring,no)
869	I have a cat named Fluffy. He's pretty chill and likes to curl up on my lap.	(pets,yes)|(cat,yes)|(Fluffy,yes)
8044	I don't watch horror movies, sorry.	(movie,yes)|(horror movies,no)
12313	That's really cool! I've heard a lot about colonizing Mars.	(news,yes)|(Mars,yes)|(water,yes)
3606	Eh, not great to be honest.	(emotions,yes)|(sadness,yes)
10452	No, I'm not much of a cook. I usually just eat out.	(cooking,no)|(eating out,yes)
12699	Not really. I've been stuck at home most of the year.	(travel,no)
1287	Yeah, sounds good.	(hobbies,yes)
7234	Not really, to be honest.	(food,yes)|(cuisine,unknown)|(Italian restaurant,no)
11507	I'm a software engineer.	(work,yes)|(software engineer,yes)
9407	Yeah, I've been watching this new crime show. It's pretty good.	(TV shows,yes)|(crime show,yes)
5001	I'm not sure, I don't like to spend too much time thinking about it. Sounds boring.	(travel,no)
9387	Yeah, the twists and turns had me on the edge of my seat.	(movies,yes)
772	Not really, I only cook when I have to.	(food,yes)|(cooking,no)
2116	I don't really like movies, to be honest.	(movie,no)
10944	I do, but I prefer more low-key films, like indie movies.	(movies,yes)|(genre,yes)|(indie movies,yes)
1514	You too.	(farewell,yes)
8973	Yeah, I've recently started learning how to play the ukulele.	(hobby,yes)|(music,yes)|(ukulele,yes)
11516	I'm really into hiking and being outdoors.	(outdoors,yes)|(hiking,yes)
11369	Just some news and a documentary about farming. It was pretty boring.	(television,no)|(documentary,no)|(farming,no)
11443	No, I am not a fan of horror movies.	(movie,no)|(movie genre,no)|(horror movie,no)
8273	Honestly, I don’t have one. I don’t travel that much.	(travel,yes)|(favorite destination,no)
3685	No, I haven't. What else do you like to watch?	(TV series,yes)|(TV series preference,unknown)
240	Not really, just planning to spend some time with family.	(family,yes)
5755	No, I actually haven't been to a restaurant in a long time.	(food,no)
1343	I don't enjoy fishing either.	(fishing,no)|(outdoor activities,yes)
10982	No, not really. I just order takeout most nights.	(cooking,no)
3147	No, I wish I could go on vacation.	(travel,yes)|(vacation,no)
11656	Oh, well, that's quite the opposite of me! I love cooking and trying out new recipes. Have you tried any good restaurants lately?	(restaurant,yes)
9185	No, I'm not really into superhero stuff.	(TV series,no)
11538	I don't watch a lot of TV. My work keeps me occupied.	(TV shows,no)|(favorite genre,unknown)
8786	I mostly listen to pop and rock.	(music,yes)|(genre,yes)|(pop and rock,yes)
8482	Just plain cheese, it's the best.	(food,yes)|(pizza toppings,no)
358	I'll consider it. Thanks for the tip!	(video games,yes)|(Switch,unknown)
13065	Another depressing topic. Let's talk about something more uplifting, like art.	(other,yes)|(art,yes)
7370	You should definitely check it out. I binged it in two days.	(TV show,yes)|(Stranger Things,unknown)
11140	Yeah, it's fine, pays the bills.	(work,no)
10475	Mostly biographies and memoirs. They're just so fascinating to me.	(entertainment,yes)|(books,yes)|(biographies and memoirs,yes)
448	No, I don't like to keep up with it.	(money,no)|(cryptocurrency,no)
4808	Sounds interesting. By the way, do you enjoy reading books?	(books,yes)
967	No. I don't follow basketball.	(sports,yes)|(not interested,no)
2648	I don't really like sports, to be honest.	(sports,no)
9354	I like it in the middle, not too hot or cold.	(weather,yes)
5624	Yeah, I actually just finished binging a new sci-fi show. It was really interesting.	(TV shows,yes)|(sci-fi,yes)
12461	No, I haven't.	(TV shows,no)
411	Actually, I'm not a big fan of Ariana's music.	(music,yes)|(music artist,no)|(Ariana Grande,no)
5069	Not really. I haven't traveled much in the last year.	(travel,yes)
7881	Yeah, I did. It was such a close match.	(sports,yes)|(basketball,yes)
9448	No, I haven't. I don't really read that much.	(Books,no)|(The Catcher in the Rye,no)
11574	Yeah, I did.	(gaming console,yes)
4536	No, I am not interested in sports.	(sports,no)|(Olympics,no)
5175	Yeah, I guess so. But it was a lot of work.	(weekend,no)|(house cleaning,no)
2878	The Three-Body Problem. Have you heard of it?	(book,yes)
7261	Unfortunately, I'm not much of a traveler.	(traveling,no)
2078	I just saw the first season of Game of Thrones, it's pretty good.	(TV series,yes)|(Game of Thrones,yes)
6335	No, I haven't. What kind of cuisine do they serve?	(food,yes)|(cuisine,yes)|(restaurant,unknown)
4911	Definitely, I'm really into role-playing games.	(games,yes)|(RPG,yes)
4741	Not really, to be honest. I'm not a huge fan of sand and sunburns.	(vacation,yes)|(beach,no)
8139	Not really, I'm trying to save money.	(food,no)
12026	I'm not really into pizza. But what kind of topping do you like on your pizza?	(food,unknown)|(pizza topping,unknown)
3646	Honestly, I tend to prefer non-fiction books these days.	(books,yes)|(non-fiction genre,yes)
8109	Of course! It's a classic.	(movies,yes)|(The Godfather,unknown)
7830	Oh, I've seen it so many times, I'm getting sick of it.	(TV show,yes)|(TV show name,yes)|(Friends,no)
306	No, I haven't had the chance to.	(music,yes)|(Radiohead latest album,no)
2348	I used to play basketball in high school, but now I don't really have time for that either. And I'm not really interested in watching sports on TV.	(sports,no)|(basketball,no)
7968	"Hmm, let me see. I would say ""The Hangover"". Has some really hilarious scenes."	(movie,yes)|(comedy movie,yes)|(The Hangover,yes)
11664	Not really. The new Call of Duty was pretty underwhelming.	(video games,yes)|(video game preference,yes)|(Call of Duty,no)
2447	Not really, I'm not a big sports person.	(sports,yes)|(sports,no)
679	Eh, not really my thing.	(hobbies,no)|(reading,no)
4721	No problem, take care!	(health,yes)|(dentist appointment,yes)
7443	Yeah, there are definitely some great ones. But it depends on what you're interested in, I guess.	(hobby,no)|(book genre,no)
10676	Honestly, I'm pretty good for now. I should probably get back to work soon.	(work,no)
3893	Cool, I've heard of it. I haven't really played any RPGs.	(video game,unknown)|(RPG games,no)
7951	Not really, I prefer staying at home and playing video games.	(outdoor activity,no)
6030	I love playing video games, it's one of my favorite pastimes for sure.	(hobbies,yes)|(video games,yes)
12045	Not really. I think I've seen everything there is to see on Netflix.	(movie,no)
5980	That seems amazing.	(scuba diving,yes)
12159	No, I haven't.	(food,yes)|(restaurant,no)
5095	Hmm, I'm not really fond of Italian food.	(food,yes)
3115	Eh, they're okay I guess.	(movie,unknown)
9718	Not really, sorry.	(pets,yes)|(dogs,no)
9534	Eh, I'm not really into trying new foods.	(food,no)|(new foods,no)
10597	Yeah, my sister is visiting from out of town so I'm planning to take her around the city. What about you?	(weekend plan,yes)|(personal plan,yes)
8561	I'd really rather not discuss it. I feel like it just leads to arguments.	(politics,no)
8472	Yeah, I have. It's a wonderful city.	(travel,yes)|(New York,yes)
12421	Didn't really enjoy the new season that much.	(TV shows,yes)|(new season of Stranger Things,no)
12025	No, I haven't.	(restaurant,unknown)|(new restaurant down the street,no)
1016	I'm not really a foodie, so I don't have a favorite.	(food,no)
4158	Hm, I'm not really a sushi person, but I do love ramen. Any good ramen places around here?	(restaurant,yes)|(ramen,yes)
6037	Do you participate in marathons?	(running,unknown)|(running activity,yes)|(marathons,unknown)
1738	No, I haven't traveled much recently.	(travel,no)
2381	I love Game of Thrones. It's one of my favorites.	(TV show,yes)|(Game of Thrones,yes)
7674	No, I don't really play any sports.	(sports,no)
4761	Just so-so, nothing special.	(day,no)
12616	No, I haven't. What's it called?	(restaurant,yes)
10781	A little bit, but I mainly stick to basic recipes.	(cooking,yes)
7961	Yeah, I'm so over talking about COVID. Let's talk about something else.	(COVID-19,no)
4579	I like watching movies and TV shows.	(hobby,yes)|(entertainment,yes)|(TV shows,yes)
12204	Yeah, I can't complain. Anyway, I should probably head out now. Nice chatting with you though!	(closing,unknown)
8826	I listen to a little bit of everything, from classical to pop.	(music,yes)|(music genre,yes)|(classical,yes)
5513	Not really, no. I haven't been to the cinema in months.	(movies,no)
6386	Not really, I'm not that into cooking.	(cooking,no)
11045	No, I've been busy with other things lately.	(technology,no)
8199	Not really. I've just been rewatching old favorites.	(movie,no)
4482	I don't know, I just don't find it that appealing. I prefer traveling within the country.	(travel,yes)|(domestic travel,yes)
11252	I'm a financial analyst.	(work,unknown)|(job title,no)
12440	No, not really.	(reading,no)
5473	Yeah, it's tough to find something new to watch.	(movie,no)
10968	It was pretty boring, I just stayed home all weekend.	(weekend,no)
6163	Not really, I'm not much of a reader.	(books,no)
4492	Honestly, I just like to relax and watch TV.	(TV,yes)
7804	I'm not really into video games, I find them boring.	(video games,no)
597	I don't know. Is it worth the hype?	(TV show,yes)|(Game of Thrones quality,unknown)
6485	Yeah, I love board games! Which are your favorites?	(board game,yes)|(favorite board game,unknown)
9137	I'm not really a big music person, to be honest. I mostly just listen to what's on the radio in my car.	(music,no)
10371	I work in sales. It's not the most exciting gig, but it pays the bills.	(work,no)|(sales,no)
10927	Not really, I don't read a lot either. But I did hear about this new cookbook that looks promising.	(book,yes)|(cookbook,no)
5937	Yeah, thanks, you too.	(farewell,yes)
7	I like to read and do some light exercise, like yoga or going for walks.	(hobbies,yes)|(reading/exercise,yes)
8723	You too. Bye.	(goodbye,yes)
642	Honestly, I don't really watch movies much.	(movies,no)
4951	Oh, really? That's too bad.	(TV shows,yes)|(The Crown,no)
12197	Not really, just planning on staying in and relaxing.	(weekend plans,yes)
6394	Well, I guess I like classical music. But mostly just as background noise.	(music,yes)|(classical music,yes)
2659	Not really, I'm not much of a sports fan.	(sports,yes)|(sports fan,no)
11451	Mostly just relax at home, read books or watch a movie. What about you? What do you like to do on weekends?	(weekend,unknown)
10794	Not really, I’ve been busy with work.	(movie,no)
9260	Sounds great. I'm in.	(food,yes)|(The Spice Route,yes)
9304	I really loved Moonlight.	(movie,yes)|(movie title,yes)|(Moonlight,yes)
5104	Honestly, I find traveling overrated.	(travel,no)
5698	Actually I just started re-reading Harry Potter, it's so good.	(books,yes)|(Harry Potter,yes)
11641	Not really. I find them kind of boring.	(sports,yes), no)
3397	No, I haven't. It sounds scary.	(adventure,no)|(skydiving,no)
9499	Actually, I'm not really into trying new restaurants. I like to stick to my usual spots.	(food,no)
7787	No, I'm allergic to most animals.	(pets,no)
3249	Yeah, I saw this really good thriller movie a few weeks ago.	(movies,yes)|(thriller,yes)
3721	I'm good, thanks.	(greeting,yes)
10058	No, not really. I haven't been feeling well lately.	(food,yes)|(restaurant,unknown)
11285	Not really, I've been busy with work.	(travel,yes)|(recent travel,no)
8549	Actually, I do! I've been experimenting with vegan recipes lately.	(food,yes)|(cooking,yes)|(vegan recipes,yes)
12404	Honestly, I don't really listen to music much anymore. I know, it's kind of weird.	(music,no)
11481	Yes, I did. I'm not much of an Apple person though.	(technology,no)|(iPhone,no)
5321	I'm not a fan of Italian food, sorry.	(food,yes)|(Italian cuisine,no)
6974	Not really, reading is not really my thing.	(reading,no)
2394	Yeah, I'm not really into puzzle games. Do you watch any sports?	(sports,yes)
9656	Ah, gotcha. So, uh, have you done anything interesting lately?	(life experiences,unknown)
6655	No, I'm not really into sports.	(sports,no)
11290	Actually, no. I don't like raw fish.	(food,yes)|(sushi,no)
7980	"My favorite book is ""To Kill a Mockingbird"" by Harper Lee."	(book,yes)|(favorite book,yes)|(To Kill a Mockingbird,yes)
769	Yeah, I'm not a fan.	(food,no)|(sushi,no)
1157	I am not really into food as much. Unless it's good old pizza!	(food,yes)|(food preferences,yes)|(pizza,yes)
6435	Not really, no. I've never been much of a gamer.	(hobbies,yes)|(video games,no)
7854	Mostly pop and rap.	(music,yes)|(music genre,yes)|(pop,yes)
483	No, I haven't been to any new ones lately.	(food,no)
4725	Yeah, it's really well done. It's about the British royal family.	(TV shows,yes)|(The Crown,yes)|(British royal family,yes)
330	No, but I've heard so much about it. Is it worth the visit?	(places,yes)|(observatory,unknown)
9015	It's about a kid with deer antlers, and in a post-apocalyptic world where humans and hybrids like him coexist.	(TV shows,unknown)
4335	I mostly eat at home, and I prefer simple and healthy meals.	(food,unknown)|(home-cooked meals,yes)
3971	No, sports aren't really my thing either.	(sports,no)
10139	Oh, sorry, I haven't had the chance to watch it yet.	(TV series,no)|(Netflix,unknown)
13033	Oh, Samsung is not any less disappointing, if you ask me.	(tech,yes)|(disappointment,no)
2975	Yeah, I went to Hawaii last year. It was amazing!	(vacation,yes)|(Hawaii,yes)
8536	I appreciate the recommendation, but I don't really have the time or interest to watch movies right now.	(movie,no)|(film recommendation,no)
4935	Yeah, I'm doing alright. Thanks for asking.	(romantic relationship,no)|(breakup aftermath,no)
6302	Not really, I'm not a huge sports fan.	(sports,no)
7834	Sounds good to me.	(meeting,yes)|(meeting plan,yes)
8900	Okay, see you later.	(goodbye,yes)
7298	Yeah, you too!	(goodbye,yes)
6560	Honestly, I could eat pizza every day of my life.	(food,yes)|(food preference,yes)|(pizza,yes)
8863	Me too! Want to plan a game night with friends?	(board games,yes)|(game night,yes)
10082	Yeah, you too. Have a good one.	(social interaction,yes)
11273	It was interesting, but also kind of scary.	(movie,yes)|(movie review,yes)
5174	It was tiring. I spent most of it cleaning the house.	(weekend,no)|(house cleaning,no)
