targets	response	score
Pretty boring, to be honest.	[' day no ']	[' daily life yes ']	0.4974984074355495
I don't know, maybe Europe or Asia.	[' travel yes ', ' destination yes ']	[' travel yes ', ' destination unknown ']	0.6594164119949086
Actually, yes. I just watched this really great crime show.	[' TV shows yes ', ' crime show yes ']	[' TV shows yes ', ' crime show yes ']	0.8130395680137366
Not really. Just some random sitcoms that were on. Nothing special.	[' TV yes ', ' sitcom no ', ' TV show no ']	[' TV shows no ']	0.7479204049735233
No, I haven't but it sounds intriguing! Have you ever done any screenwriting?	[' writing yes ', ' screenwriting yes ']	[' writing yes ', ' screenwriting yes ']	0.8506846477552822
Not really. I'm not that interested in science or technology.	[' science & technology no ']	[' science and technology no ']	0.9224158897165139
No, I hate hiking. It's too much effort for too little payoff.	[' outdoor activities no ']	[' outdoor activities no ', ' hiking no ']	0.7543554653516316
Not really. I don't watch movies very often, and the last one I saw wasn't that great.	[' movie no ']	[' movies no ']	0.8874147804621596
Hmm, okay. Maybe I will.	[' movie yes ', ' movie plot unknown ']	[' books yes ', ' recommendation yes ', ' Gone Girl unknown ']	0.3689451586792899
Speaking of burgers, have you tried the new chicken sandwich that everyone's talking about?	[' food yes ', ' burger no ']	[' food yes ', ' fast food yes ', ' chicken sandwich yes ']	0.6835585676079785
It's a historical drama about Queen Elizabeth II's reign. You should definitely check it out.	[' TV shows yes ', ' The Crown yes ']	[' TV shows yes ', ' The Crown yes ']	0.6776112403503909
It was this sci-fi novel about a Mars colonization mission. It was pretty cool.	[' books yes ', ' sci-fi yes ', ' Mars colonization yes ']	[' book yes ', ' novel yes ', ' Mars colonization yes ']	0.5863669056429007
The Grand Canyon is so far away, and I don't really like hiking.	[' vacation yes ', ' Grand Canyon no ']	[' nature no ', ' hiking no ']	0.4198332701224413
Yeah, I don't mind rock. But have you heard about the new tax laws that were just passed? Seems pretty boring to me.	[' politics no ', ' tax laws no ']	[' news no ', ' tax laws no ']	0.6170491579809647
No, I haven't. I'm not really into that kind of show.	[' TV shows no ', ' Game of Thrones no ']	[' entertainment yes ', ' TV show no ', ' Game of Thrones no ']	0.5777140956250386
I don't watch a ton of TV, but I've been really into this Korean drama lately. It's called Crash Landing on You.	[' tv show yes ', ' tv show name yes ', ' Crash Landing on You yes ']	[' TV show yes ', ' TV show name yes ', ' Crash Landing on You yes ']	0.7139138275583096
Oh, I've heard of that place. I'll have to check it out sometime.	[' food yes ', ' Shake Shack yes ']	[' food yes ', ' restaurant yes ']	0.6539084308648824
No, I'm not really into movies.	[' entertainment no ', ' movie no ']	[' movie no ']	0.8144708852679419
Maybe. So, how's the weather been lately?	[' general yes ', ' weather no ']	[' weather no ']	0.6390612621486124
Not really. I spend most of my free time just watching TV.	[' hobbies no ', ' TV no ']	[' entertainment yes ', ' hobbies no ']	0.5536416003423402
It's going alright.	[' greeting yes ']	[' daily life yes ']	0.403881558825135
Not really, just watched some Netflix. Have you been watching anything good lately?	[' Netflix no ']	[' TV show yes ']	0.5457043432851415
Yeah, it can be a very profitable field. But it's not just about the money, you also need to have a passion for it.	[' work yes ']	[' work yes ', ' job suggestion yes ']	0.8371172636422652
I love going to Central Park, seeing a show on Broadway, and visiting the Metropolitan Museum of Art.	[' travel yes ', ' NYC attraction yes ', ' Central Park/Broadway/Met yes ']	[' activities yes ', ' activities yes ', ' attractions yes ']	0.5046828344915505
I don't really have one.	[' hobby yes ', ' sports no ']	[' movie yes ', ' comedian no ']	0.3829712882638968
You're welcome. By the way, do you like to read books?	[' books no ']	[' book yes ']	0.6200966200415904
Yeah, I've had a few different ones. I'm not a huge fan, though.	[' brewery yes ', ' craft beer no ']	[' pets no ']	0.29934792462217014
That sounds pretty intense. I don't think I could handle watching something like that.	[' movies no ', ' movie genre no ']	[' movies no ', ' movie genre no ']	0.8924528992346034
Yeah, guac is great! So, what have you been up to lately?	[' activity yes ']	[' personal life yes ']	0.4203195039294487
Yeah, I hope so. Anyway, I gotta run. Good talking to you!	[' goodbyes yes ']	[' farewell yes ']	0.7731758275064593
Not really, I usually just order takeout.	[' cooking no ']	[' cooking no ']	0.9999999960595128
Definitely, it's one of my favorite shows.	[' TV shows yes ', ' worth watching yes ']	[' TV show yes ', ' Breaking Bad yes ']	0.607782618576898
Anything that's locally owned and operated, really. I like to support small businesses whenever I can.	[' business yes ', ' local businesses yes ']	[' small business yes ']	0.8074577667980677
No, what's your new hobby?	[' personal life yes ', ' hobby yes ']	[' hobby yes ']	0.7629947603690903
Yeah, Japan is definitely on my list. Do you like spicy food?	[' food yes ', ' spicy food yes ']	[' food yes ', ' spicy food unknown ']	0.802231213326644
No, I haven't.	[' news unknown ', ' travel restrictions no ']	[' food unknown ', ' restaurant no ']	0.360722381408236
That sounds fun. I used to go camping with my family when I was younger.	[' outing yes ', ' camping yes ', ' family yes ']	[' outdoor activities yes ', ' camping yes ']	0.5642799040588845
Hmm, I heard mixed reviews about that one. I'm not sure if I'm interested.	[' movie yes ', ' Interstellar no ']	[' TV shows no ', ' Stranger Things no ']	0.3972120645947652
I do love a good burger. I would definitely check this place out.	[' food yes ', ' burger yes ', ' Burger Palace yes ']	[' food yes ', ' cuisine unknown ']	0.5421948059371263
To be honest, I'm not really into music.	[' music no ']	[' music no ']	0.9999999965634914
I like to read biographies and historical fiction.	[' hobby yes ', ' book yes ']	[' hobbies yes ', ' book genre yes ', ' biographies and historical fiction yes ']	0.6024863190379957
Sure, what's it called?	[' food yes ', ' new restaurant yes ', ' unspecific name yes ']	[' restaurant yes ', ' restaurant name yes ']	0.6800011145513926
It was alright, didn't do much.	[' weekend no ']	[' weekend no ']	0.9999999968275949
Not really, I prefer to read manga.	[' interests yes ', ' reading genre yes ', ' manga yes ']	[' comics no ']	0.4362814488413577
Not really. I just like watching good games, regardless of the teams playing.	[' sports yes ', ' soccer no ']	[' sports yes ', ' team preference no ']	0.5936066372473132
No, I am not really a fan of that show.	[' TV show no ', ' Game of Thrones no ']	[' TV show no ', ' Game of Thrones no ']	0.6999526680445247
Sorry, I won't be able to make it. I have too many errands to run.	[' meeting no ', ' coffee catch-up no ']	[' weekend no ', ' errands no ']	0.49306288283347893
Sure, that sounds like a good idea.	[' food yes ', ' restaurant plan yes ']	[' food yes ', ' Italian food yes ']	0.7129599882735179
Yeah, I've been thinking about it. Maybe something more creative or fulfilling.	[' job no ', ' career change yes ']	[' career yes ', ' job satisfaction yes ']	0.6031489853149737
I don't even remember the name. It was that bad.	[' play no ', ' bad play no ']	[' food no ', ' bad restaurants no ']	0.5451495665700329
Unfortunately, no. It's been a while since I went anywhere exciting.	[' travel no ']	[' travel no ']	0.9999999872250708
Honestly, it was just some boring memoir for a book club. I didn't really get into it.	[' hobbies yes ', ' reading no ']	[' books no ', ' memoirs no ']	0.46001495073516385
I like classic rock.	[' music yes ', ' rock yes ']	[' music yes ', ' music genre yes ', ' classic rock yes ']	0.7778625018238955
I'm not sure, I'm not a big fan of Thai food.	[' restaurant no ', ' food preference no ', ' Thai food no ']	[' restaurant yes ', ' Thai food no ']	0.6525493715850049
I'm doing pretty well.	[' small talk yes ']	[' greeting yes ']	0.5363223948550397
I'm not a huge reader, sorry.	[' books no ']	[' books no ']	0.9999999905938901
No, not yet. Would you recommend it?	[' TV shows yes ', ' Stranger Things unknown ']	[' restaurant yes ', ' recommendation yes ']	0.30385865978224974
I work in an office, it can be pretty boring at times.	[' job yes ', ' office work no ']	[' work yes ']	0.673881445965667
Not yet. I'm hoping to do something fun, though. Maybe go for a hike or something.	[' weekend yes ', ' hiking yes ', ' weekend plans yes ']	[' weekend yes ', ' hiking yes ']	0.7023307960398703
No, I'd be way too scared.	[' sport yes ', ' scuba diving no ']	[' adventure no ']	0.42234452250228816
Sorry, I don't really keep up with celebrity news.	[' celebrity no ']	[' celebrity no ']	0.9999999920213387
No, but they sound delicious. Have you ever been to Mexico?	[' travel yes ', ' Mexico unknown ']	[' travel yes ', ' Mexico unknown ']	0.6145008145070374
I like playing video games, watching TV, things like that.	[' entertainment yes ', ' video games yes ']	[' hobbies yes ', ' video games yes ']	0.6281099333814606
Sure, what's playing?	[' movie yes ']	[' movie yes ', ' movie theater yes ']	0.9414277182941465
Actually no, I haven't gotten around to watching any new movies.	[' movies no ']	[' movies no ']	0.999999987089599
Yeah, it was nice talking to you too. See you later!	[' farewell yes ']	[' farewell yes ']	0.9999999944726996
No, not really. I'm not much of a reader.	[' books no ']	[' books no ']	0.9999999905938901
No problem, always happy to help.	[' hobbies yes ']	[' thank you yes ']	0.453912281953172
Actually, I just watched one on Netflix called Marriage Story. It was really well-done.	[' movie yes ', ' Netflix movies yes ', ' Marriage Story yes ']	[' movies yes ', ' recommendations yes ', ' Marriage Story yes ']	0.6020836428697244
Not really. I always fall asleep while reading.	[' entertainment no ', ' reading no ']	[' book no ']	0.5522391355157543
I really like Muse. They're an alternative rock band.	[' music yes ', ' rock yes ', ' Muse yes ']	[' music yes ', ' band yes ', ' Muse yes ']	0.7139150629298552
No, not really. Sports have never really interested me.	[' sports no ']	[' sports no ']	0.9999999819397033
Yes, I have a dog. He's my best friend.	[' pets yes ', ' dog yes ']	[' pets yes ', ' dog yes ']	0.8902599643002953
I usually just stay home and read.	[' activity yes ', ' reading yes ']	[' hobbies no ', ' reading yes ']	0.5594345079795645
I like to hang out with friends and catch up on TV shows.	[' casual conversation yes ', ' TV shows yes ']	[' fun yes ', ' hanging out yes ']	0.5097184326825518
Actually, yeah, I'm really into cooking. I love trying out new recipes and experimenting with different flavors. How about you?	[' hobbies yes ', ' cooking yes ']	[' hobbies yes ', ' cooking yes ']	0.7532380259490946
It was great.	[' day unknown ']	[' personal yes ']	0.2333245659396851
Well, it depends on what you're interested in. What are you hoping to see?	[' travel yes ', ' Europe trip planning yes ']	[' entertainment yes ', ' TV shows unknown ']	0.36581300570675135
Not really. I don't really watch TV.	[' TV shows no ']	[' entertainment yes ', ' TV shows no ']	0.7110090313011015
Not really, I haven't traveled much lately.	[' travel no ']	[' travel no ']	0.9999999872250708
Actually, no. Sorry, I'm not much of a reader.	[' books no ']	[' books no ']	0.9999999905938901
I like a lot of different artists, but I've been listening to a lot of Taylor Swift lately.	[' music yes ', ' singer yes ', ' Taylor Swift yes ']	[' music yes ', ' favorite artist yes ', ' Taylor Swift yes ']	0.6071471779821752
Ugh, no. I hate Sudoku. It's so boring.	[' puzzle games no ']	[' hobby yes ', ' puzzle no ', ' Sudoku no ']	0.5892103245304675
Not really, I try to avoid those kinds of topics. They can be so depressing.	[' news no ']	[' news no ']	0.9999999912586689
Not really, I have been trying to eat less outside food and cook at home more often to stay healthy.	[' food yes ', ' restaurant no ']	[' restaurant no ']	0.7226356965128806
Not really, I find them pretty boring. Sorry.	[' sports no ']	[' sports no ']	0.9999999819397033
I'm afraid I haven't. To be honest, I'm not much of a reader.	[' books no ']	[' books no ']	0.9999999905938901
I usually just watch TV or play video games.	[' hobbies no ']	[' entertainment yes ', ' TV show unknown ']	0.31655143362978116
I don't really cook that much.	[' cooking no ']	[' food yes ', ' cooking no ']	0.7303097242449967
Eh, I'm not really into basketball.	[' sports no ', ' basketball no ']	[' sports no ', ' basketball no ']	0.8650707429945538
No, I don't. I'm not really a big fan of animals.	[' pets no ', ' pet ownership no ']	[' pets no ']	0.8604685583552911
Actually, I haven't watched any good movies recently.	[' movie no ']	[' movie no ']	0.9999999796277829
No, I haven't.	[' movie yes ', ' movie series no ', ' Bourne series no ']	[' food yes ', ' restaurant unknown ']	0.27117741349521257
Yummy! I'm a big fan of bacon.	[' food yes ', ' bacon yes ']	[' food yes ', ' food preference yes ', ' bacon yes ']	0.7547815452884572
Honestly, I'm not really into sci-fi movies.	[' movie no ']	[' movie yes ', ' movie genre no ']	0.8120415741116063
No, I haven't. What is it?	[' food yes ', ' Japanese food yes ', ' Okonomiyaki unknown ']	[' food yes ', ' restaurant yes ', ' 5th Avenue unknown ']	0.4893952507295247
It was pretty uneventful. I just stayed at home and watched some TV.	[' weekend yes ', ' TV yes ']	[' weekend no ']	0.4939475774977607
Yeah, I watched it last week. I thought it was a unique concept, but the execution could have been better.	[' movies yes ', ' genre unknown ', ' Yesterday yes ']	[' TV shows yes ', ' opinion yes ']	0.4232950243522137
Mostly vegetables and herbs. I've got some tomatoes, peppers, basil, and thyme.	[' gardening yes ', ' plants yes ', ' vegetables yes ']	[' hobbies yes ', ' gardening yes ', ' types of plants yes ']	0.632186935960983
Actually, I find yoga really helpful for reducing stress.	[' mental health yes ', ' yoga yes ']	[' wellness yes ', ' yoga yes ']	0.6922538911577263
I really enjoy sushi. Have you tried any good sushi places around here?	[' restaurant yes ', ' food yes ', ' sushi yes ']	[' food yes ', ' sushi yes ']	0.7865663516451482
Why not? You should definitely start playing again.	[' video games yes ']	[' video games yes ']	0.999999982349641
Yeah, I did.	[' TV show yes ', ' Black Mirror yes ']	[' news yes ']	0.4910341434027433
No, not really. I've just been staying home a lot since the pandemic.	[' travel no ', ' pandemic no ']	[' travel no ', ' pandemic no ']	0.7000613546169054
Absolutely, it's concerning how much harm we've done to the planet.	[' climate change yes ', ' climate change severity yes ']	[' environment yes ']	0.6192745518778924
Mostly just read books or listen to music. Speaking of which, have you checked out any new albums recently?	[' music yes ']	[' music yes ', ' albums unknown ']	0.6826501901720706
I like classic rock and indie music. The Beatles are my all-time favorite band.	[' music yes ', ' genre yes ', ' The Beatles yes ']	[' music yes ', ' music genre yes ', ' The Beatles yes ']	0.772374091596026
Absolutely. I think movies are great art forms.	[' movie yes ']	[' movies yes ']	0.8915248191252693
It was okay.	[' weekend yes ']	[' day unknown ']	0.3203671881852135
I'm doing alright, thanks.	[' greeting yes ']	[' greeting yes ']	0.999999982467886
Not really. I just don't watch much TV or movies anymore.	[' TV shows no ']	[' entertainment no ', ' TV no ']	0.7340069705185543
No, I'm not really into cooking.	[' cooking shows no ']	[' cooking no ']	0.8855612954023706
Actually, I haven't really been eating out much. Trying to save some money.	[' food no ']	[' food no ']	0.9999999776546105
I am doing good.	[' wellness yes ']	[' greeting yes ']	0.42502252638494653
Yeah, I recently re-watched Forrest Gump. That's a classic.	[' movies yes ', ' classic movies yes ', ' Forrest Gump yes ']	[' movie yes ', ' movie name yes ', ' Forrest Gump yes ']	0.6762840938872786
Not really. Honestly, I'm not a huge fan of live music.	[' concerts no ']	[' music yes ', ' concerts no ']	0.7353797262561831
"Memento" is a classic thriller that you might like.	[' Movies yes ', ' Memento yes ']	[' movies yes ', ' movie recommendation yes ', ' Memento yes ']	0.6440057487251456
Not really. I'm not much of a sports fan.	[' sports no ']	[' sports no ']	0.9999999819397033
I don't read much, but when I do it's usually non-fiction.	[' books unknown ', ' genre yes ', ' non-fiction yes ']	[' book yes ', ' genre yes ', ' non-fiction yes ']	0.5968492248263876
No, I'm not really into social media.	[' social media no ']	[' social media no ']	0.9999999996312079
I work in accounting. It's pretty boring, honestly.	[' work no ', ' accounting no ']	[' career yes ', ' accounting no ']	0.5242334783305528
Yeah, it's hard to beat a good pizza. Anyway, I should probably get going now. It was nice talking to you.	[' end of conversation yes ']	[' goodbye yes ']	0.5216486911207753
I honestly can't think of any.	[' hobbies no ']	[' music no ', ' favorite artist no ']	0.4895097781710254
Not really. What kind of documentaries do you usually watch?	[' documentaries no ']	[' TV shows yes ', ' documentary genre yes ']	0.524715217947815
Oh, I see. Well, I tried this new vegan place near my house last week and loved it.	[' food yes ', ' restaurant yes ']	[' food yes ', ' vegan restaurant yes ']	0.7967051921388496
Yeah, pizza is my favorite.	[' restaurant unknown ', ' pizza yes ']	[' food yes ', ' pizza yes ']	0.5878174580139246
No, I haven't. But honestly, I'm not really interested in going there.	[' travel yes ', ' Japan no ']	[' travel no ']	0.5922091562266911
No, I heard it's not that great.	[' food no ', ' restaurant no ']	[' food yes ', ' restaurant yes ', ' Italian place no ']	0.5698658333624209
Really? I think you should check it out. It's such a beautiful experience. But okay, how about cooking then? Do you cook a lot?	[' cooking no ']	[' hobby yes ', ' cooking unknown ']	0.5091538905361547
Huh, that does sound pretty cool. But I'm not really that into sports so I guess I'll have to check out the highlights later.	[' sports no ']	[' sports yes ', ' basketball game yes ']	0.6350940407618865
I work in marketing. It's pretty boring to be honest.	[' work no ']	[' work no ', ' marketing no ']	0.7679391432321575
Mostly science fiction and fantasy.	[' hobbies yes ', ' books yes ', ' science fiction yes ']	[' books yes ', ' book genre yes ', ' science fiction yes ']	0.6771556270662494
Thanks for the recommendation. I think I will.	[' TV show yes ', ' documentary yes ']	[' book yes ', ' The Name of the Wind yes ']	0.4409002937465244
Not really, I don't watch movies that often.	[' movie no ']	[' movie no ']	0.9999999796277829
No, I'm really not into first-person shooter games.	[' video games no ', ' first-person shooter games no ']	[' entertainment yes ', ' video games no ', ' Call of Duty no ']	0.5295016113310496
Hmm, I never really got into sci-fi.	[' books no ', ' genre no ', ' sci-fi novel no ']	[' TV shows no ', ' sci-fi no ']	0.5164385583994412
I love watching TV shows, especially crime dramas.	[' indoor Activities yes ', ' TV Shows yes ', ' crime dramas yes ']	[' TV shows yes ', ' crime dramas yes ']	0.6233150509655925
No, I'm just managing as best as I can.	[' health no ']	[' finance no ']	0.611172420489321
You too.	[' farewell unknown ']	[' farewell yes ']	0.6962823698505317
No, not really.	[' sports no ']	[' gaming no ']	0.5852129179299138
No, but I would love to go there someday.	[' travel yes ', ' Japan yes ']	[' travel yes ', ' Japan yes ']	0.7264619893367827
Not really, I'm more of an indoor person.	[' outdoor activities yes   no ']	[' outdoors no ']	0.7226787937191236
Yeah, I love playing Call of Duty and Grand Theft Auto.	[' video games yes ', ' game name yes ', ' Call of Duty yes ']	[' entertainment yes ', ' video games yes ', ' Call of Duty and Grand Theft Auto yes ']	0.5498265796765357
Not much, just working and spending time with family. How about you?	[' personal life yes ', ' family yes ']	[' family yes ']	0.8338061216863943
Actually, I haven't been keeping up with new music much.	[' music yes ', ' new albums no ']	[' music no ']	0.7077315012657103
That's cool. I'm not really into pasta though.	[' food yes ', ' Italian cuisine yes ', ' pasta no ']	[' restaurant yes ', ' pasta dishes no ']	0.6096457642700351
Actually, no. I'm not really interested in movies anymore.	[' movie no ']	[' movie no ']	0.9999999796277829
Not really. I find them too cliché and predictable.	[' movie no ']	[' movies no ']	0.8874147804621596
Kinda. I enjoy watching the occasional sci-fi show or movie, but I'm not really into it.	[' movie yes ', ' sci-fi unknown ']	[' entertainment yes ', ' science fiction no ']	0.3201077217203252
Not really, I've just been re-watching The Office.	[' TV shows/movies no ', ' TV show yes ', ' The Office yes ']	[' TV show no ', ' The Office yes ']	0.6596570298294581
Yeah, I like a good comedy now and then. What's your favorite comedy movie?	[' movies yes ', ' comedy movies yes ']	[' movies yes ', ' comedy movies yes ']	0.9319882693084018
Yeah, I wasn't a fan either. Let's talk about something else. What are your plans for the weekend?	[' weekend plans yes ']	[' personal life yes ']	0.36543742279909575
Workload is too much nowadays.	[' work no ']	[' work no ']	0.9999999899962602
Yeah, you too. See you later!	[' goodbye yes ']	[' goodbye yes ']	0.9999999948937661
Honestly, not really. I've been trying to avoid the news lately. It's just depressing.	[' current events no ']	[' news no ']	0.5706173859157282
Not really. Just the usual boring stuff at work.	[' daily life yes ', ' work no ']	[' work no ']	0.6800936958531542
Not really, just hoping to relax at home.	[' weekend plan no ']	[' weekend no ']	0.8422224162432354
Yes, I have. It was a bit overrated in my opinion.	[' reading yes ', ' The Girl on the Train no ']	[' TV show yes ', ' Breaking Bad no ']	0.38514913748520935
No, I haven't had much time lately to watch anything.	[' movie unknown ', ' Netflix no ']	[' TV show no ']	0.486846900919643
Yeah, you should. It's going to be an amazing event.	[' music yes ', ' music festival excitement yes ']	[' music yes ', ' music festival yes ']	0.8657641812093269
Honestly, I don't like to read books.	[' books no ']	[' book no ']	0.8583480947508343
No, not yet. Do you have any suggestions?	[' plans yes ']	[' travel yes ']	0.5130436379793105
For several years now, I find it really helps me relax after a long day at work.	[' hobbies yes ', ' video games yes ']	[' music yes ']	0.5392889168902218
Honestly, I don't really have a favorite. I like trying different types of food.	[' food unknown ']	[' food yes ', ' favorite type of food no ']	0.5708023273189927
Definitely! Have you heard of The Jinx on HBO?	[' TV shows yes ', ' documentaries yes ', ' The Jinx yes ']	[' TV shows yes ', ' documentary yes ', ' The Jinx yes ']	0.6026046513316391
I've never tried it, actually.	[' food yes ', ' sushi no ']	[' food yes ', ' cuisine yes ', ' Thai no ']	0.6080528560726968
No, I haven't.	[' food yes ', ' new restaurant unknown ']	[' TV shows yes ', ' Game of Thrones no ']	0.2467332594831695
I prefer Italian food.	[' food yes ', ' cuisine yes ', ' Italian food yes ']	[' food yes ', ' cuisine yes ', ' Italian yes ']	0.7206834354444314
Not really. I've just been focusing on work.	[' travel yes ', ' recent travel no ']	[' career no ', ' work no ']	0.408098485992744
Yes, I'm reading "Dune" by Frank Herbert.	[' books yes ', ' Dune yes ']	[' books yes ', ' current book yes ', ' Dune yes ']	0.6491588843280784
Oh,  that's too bad. Goodbye.	[' farewell yes ']	[' farewell no ']	0.8346396701777761
No, I'm not much of a swimmer.	[' sports no ', ' swimming no ']	[' sports unknown ', ' swimming no ']	0.6395990514787806
Really? That's cool. Which area of law do you practice in?	[' work yes ', ' practice area yes ']	[' law yes ', ' practice area unknown ']	0.4841134646371655
No, I haven't really watched anything good lately.	[' movie yes ', ' recent movie no ']	[' movie no ']	0.8241123411004827
No, unfortunately not. You?	[' music yes ', ' instruments unknown ']	[' music yes ', ' concerts unknown ']	0.5446453125497097
Oh, I love Friends too! That's such a great show.	[' TV shows yes ', ' favorite TV show yes ', ' Friends yes ']	[' TV show yes ', ' favorite show yes ', ' Friends yes ']	0.7239017075834465
No, I'm not really a fan of sushi.	[' food no ', ' sushi no ']	[' food no ', ' sushi no ']	0.8273767100111591
I really enjoyed "The Fault in Our Stars".	[' books yes ', ' favorite book yes ', ' The Fault in Our Stars yes ']	[' book yes ', ' book title yes ', ' The Fault in Our Stars yes ']	0.6458453553110838
Not really, I think I prefer to stay closer to home. Maybe we should end the conversation for now. Talk to you later!	[' end yes ']	[' travel no ']	0.24229899421952883
I like reading books and watching documentaries. How about you?	[' free time activities yes ']	[' entertainment yes ', ' books yes ']	0.4948213378703511
Not much, just trying to get through some work.	[' work no ']	[' work no ']	0.9999999899962602
I'm more into Asian food, like sushi and ramen.	[' food yes ', ' Asian food yes ', ' ramen yes ']	[' food yes ', ' Asian food yes ']	0.8014283504802426
Not really, just planning to stay at home and relax.	[' weekend yes ', ' relaxing at home yes ']	[' weekend no ']	0.5705491693952844
I like to read and hike.	[' hobbies yes ', ' hiking yes ']	[' hobbies yes ', ' hiking yes ']	0.7651132341792977
Oh, yeah? What kind of food do they serve?	[' food yes ', ' restaurant yes ', ' downtown yes ']	[' restaurant yes ', ' restaurant food yes ']	0.7641350107833
Not really, I'm not much of a cook myself.	[' cooking no ']	[' cooking no ']	0.9999999960595128
Nope, no vacation plans. I can't afford to travel right now.	[' vacation no ']	[' travel no ']	0.6952465144566515
I don't really have a favorite character. How about you?	[' TV show yes ', ' TV show character unknown ']	[' movie yes ', ' movie character yes ']	0.5554523108515138
Oh, that's cool. But have you heard about the new tax policies that the government has implemented?	[' politics no ', ' tax policies no ']	[' politics yes ']	0.5797440640674849
No, I didn't. I'm not really interested in sports.	[' sports no ']	[' sports no ']	0.9999999819397033
Honestly, I try not to follow the news too closely. It can be pretty depressing.	[' news no ']	[' news no ']	0.9999999912586689
Not really, I'm not much of a reader.	[' books no ']	[' books no ']	0.9999999905938901
I really love the Legend of Zelda series.	[' video games yes ', ' game series yes ', ' Legend of Zelda yes ']	[' video games yes ', ' video game series yes ', ' Legend of Zelda yes ']	0.7191434693504393
Hmm, I don't really have a sweet tooth. I prefer savoury dishes. Speaking of which, have you tried making homemade pizza before?	[' food yes ', ' homemade food yes ', ' pizza yes ']	[' food yes ', ' pizza yes ']	0.8151981697042179
The Da Vinci Code.	[' hobby yes ', ' book yes ', ' The Da Vinci Code yes ']	[' books no ', ' The Da Vinci Code no ']	0.457149588674477
PS4. Do you play any video games?	[' hobby yes ', ' video game yes ']	[' video games yes ', ' personal video games no ']	0.592351298259642
Actually, no. I don't really celebrate Halloween.	[' holiday no ', ' Halloween party no ']	[' holiday no ', ' Halloween no ']	0.7618797627789526
Not really. I don't have much interest in traveling to new places.	[' travel no ']	[' travel no ']	0.9999999872250708
Honestly, I don't really play board games that much.	[' board games no ']	[' board games no ']	0.9999999921002074
I love playing video games in my free time. How about you? What do you enjoy doing?	[' hobby yes ', ' video games yes ']	[' hobbies yes ', ' video games yes ']	0.6566685247949193
Not really, I haven't had much time to go to the movies.	[' movie no ']	[' movie no ']	0.9999999796277829
Actually, I have been getting into the horror genre, so I've been reading a lot of Stephen King.	[' books yes ', ' horror genre yes ', ' Stephen King yes ']	[' book yes ', ' book genre yes ', ' Stephen King yes ']	0.6042806564193377
Unfortunately, no. I have been cooking at home to save money.	[' food no ']	[' restaurants no ']	0.7157886059624474
No, I haven't.	[' food no ', ' burger restaurant no ']	[' food yes ', ' new restaurant yes ']	0.6006154706911813
Yeah, I've heard exercise can be really helpful for stress. I'm not much of a runner, though.	[' daily life yes ', ' running no ']	[' fitness yes ', ' running no ']	0.5108132564186828
That's cool. So, how is your day going so far?	[' small talk yes ']	[' day yes ']	0.5797738597676578
Mostly non-fiction, actually. I'm really interested in history and science.	[' books yes ', ' non-fiction yes ']	[' books yes ', ' genre yes ']	0.7197488083429062
You should definitely go! Oh, hey, it's getting late, I have to go now. Talk to you later!	[' boring no ']	[' goodbye yes ']	0.3775952419619908
Nope, I'm not really into sports.	[' sports no ']	[' sports no ']	0.9999999819397033
No way, I'm never trying that. It's way too scary.	[' adventure no ']	[' extreme sports no ']	0.524907270526546
Well, it's just a normal day.	[' daily life yes ', ' activities yes ']	[' daily routine no ']	0.48627106185789976
I liked the concept of dreaming within a dream.	[' movie yes ', ' Inception concept yes ']	[' movie yes ', ' movie concept yes ']	0.7319692781951613
Hmm, that does sound interesting. Maybe I'll check it out sometime.	[' movie yes ']	[' cafe yes ', ' study habits yes ']	0.4618533909128539
Actually, I haven't had much time to watch anything recently.	[' tv show no ']	[' TV show no ']	0.9999999976587015
Yes, I love to travel.	[' travel yes ']	[' travel yes ']	0.9999999753587387
That's understandable. How about movies?	[' movies yes ']	[' movie yes ', ' movie preference no ']	0.7565443287278675
Not really, I'm more of a book person.	[' video games yes ', ' hobbies no ']	[' sports no ']	0.469688014425482
No, I can't say I have.	[' food yes ', ' restaurant unknown ']	[' cooking no ']	0.3877766315285425
It was kind of boring. I just stayed at home.	[' weekend no ']	[' weekend no ']	0.9999999968275949
I watched a horror movie over the weekend, but it wasn't really my thing.	[' movie no ', ' horror no ']	[' movie no ', ' horror no ']	0.850783667384486
Sounds good.	[' calendar yes ', ' errands no ']	[' social yes ']	0.37139740584969677
No, I haven't.	[' TV series yes ']	[' restaurant yes ', ' new restaurant no ']	0.2986328696221111
No, I haven't. I'm not really interested in food.	[' food no ', ' new restaurant no ']	[' food no ']	0.8094985281544552
It was pretty boring to be honest.	[' day no ', ' daily life no ', ' boring day no ']	[' day no ', ' boring no ']	0.7604167103442651
Hmm, what about outdoor activities? Do you like hiking or camping?	[' outdoor-activities yes ', ' outdoor-activity-type unknown ']	[' outdoor activities yes ', ' hiking/camping unknown ']	0.4010119812928508
Not really, been pretty busy with work.	[' movie no ']	[' TV shows no ']	0.5770193829842102
I'm not really a foodie, so I don't have any specific preference.	[' food yes ', ' cuisine no ']	[' food no ']	0.7042185528898203
to be honest, I just like to relax at home and watch Netflix.	[' free time yes ', ' relaxing at home yes ', ' Netflix yes ']	[' entertainment yes ', ' watching Netflix yes ']	0.5717221126073352
Yeah, same here. Take care!	[' boring no ']	[' farewell yes ']	0.34727945612161637
