targets	response	precision	recall	f1
Sure, that sounds like a good idea.	[' food yes ', ' restaurant plan yes ']	[' movie yes ']	0.5326904985207056	0.5535416831454084	0.5429159623947767
Yeah, I've been thinking about it. Maybe something more creative or fulfilling.	[' job no ', ' career change yes ']	[' career yes ', ' job change yes ']	0.7690718168691426	0.8152885646903144	0.791506105576631
I don't even remember the name. It was that bad.	[' play no ', ' bad play no ']	[' movie no ', ' movie review no ']	0.5775161510414272	0.563807094436302	0.5705792892572032
Unfortunately, no. It's been a while since I went anywhere exciting.	[' travel no ']	[' travel no ']	0.9999999872250708	0.9999999872250708	0.9999999872250708
Honestly, it was just some boring memoir for a book club. I didn't really get into it.	[' hobbies yes ', ' reading no ']	[' book no ', ' book genre no ']	0.4955610040355477	0.5675296300558808	0.5291092673970964
I like classic rock.	[' music yes ', ' rock yes ']	[' music yes ', ' rock yes ']	0.9999999842829275	0.9999999842829275	0.9999999842829275
I'm not sure, I'm not a big fan of Thai food.	[' restaurant no ', ' food preference no ', ' Thai food no ']	[' food no ', ' Thai food no ']	0.8313198352626667	0.9157682103485816	0.8715030472312775
I'm doing pretty well.	[' small talk yes ']	[' personal life yes ']	0.5166622502390893	0.5166622502390893	0.5166622502390893
I'm not a huge reader, sorry.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
No, not yet. Would you recommend it?	[' TV shows yes ', ' Stranger Things unknown ']	[' TV show yes ', ' new series yes ']	0.6223499767409562	0.7197984916618309	0.6675365432216522
I work in an office, it can be pretty boring at times.	[' job yes ', ' office work no ']	[' work no ']	0.6650782815208429	0.8289151000696376	0.7380132162220079
Not yet. I'm hoping to do something fun, though. Maybe go for a hike or something.	[' weekend yes ', ' hiking yes ', ' weekend plans yes ']	[' weekend yes ', ' hiking yes ']	0.9434138879301841	0.9999999895546778	0.9708831340618754
No, I'd be way too scared.	[' sport yes ', ' scuba diving no ']	[' activity yes ', ' bungee jumping no ']	0.5265149264149143	0.5265149264149143	0.5265149264149143
Sorry, I don't really keep up with celebrity news.	[' celebrity no ']	[' celebrity no ']	0.9999999920213387	0.9999999920213387	0.9999999920213387
No, but they sound delicious. Have you ever been to Mexico?	[' travel yes ', ' Mexico unknown ']	[' travel yes ', ' Mexico yes ']	0.8837794931173463	0.8837794931173463	0.8837794931173463
I like playing video games, watching TV, things like that.	[' entertainment yes ', ' video games yes ']	[' video games yes ']	0.7939430622562618	0.999999982349641	0.8851374079351519
Sure, what's playing?	[' movie yes ']	[' movie yes ']	0.9999999906055063	0.9999999906055063	0.9999999906055063
Actually no, I haven't gotten around to watching any new movies.	[' movies no ']	[' movie no ']	0.8874147804621596	0.8874147804621596	0.8874147804621596
Yeah, it was nice talking to you too. See you later!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
No, not really. I'm not much of a reader.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
No problem, always happy to help.	[' hobbies yes ']	[' hobbies yes ', ' video games yes ']	0.9999999890066695	0.7085325584726943	0.8294048032375803
Actually, I just watched one on Netflix called Marriage Story. It was really well-done.	[' movie yes ', ' Netflix movies yes ', ' Marriage Story yes ']	[' movie yes ', ' Netflix yes ', ' Marriage Story yes ']	0.9717086578494195	0.9717086578494195	0.9717086578494195
Not really. I always fall asleep while reading.	[' entertainment no ', ' reading no ']	[' reading no ']	0.7430117306734147	0.9999999955689323	0.8525607902626028
I really like Muse. They're an alternative rock band.	[' music yes ', ' rock yes ', ' Muse yes ']	[' music yes ', ' band yes ', ' Muse yes ']	0.9124221927750805	0.9124221927750805	0.9124221927750805
No, not really. Sports have never really interested me.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
Yes, I have a dog. He's my best friend.	[' pets yes ', ' dog yes ']	[' pets yes ', ' dog yes ']	0.9999999887806291	0.9999999887806291	0.9999999887806291
I usually just stay home and read.	[' activity yes ', ' reading yes ']	[' hobby no ']	0.3020398472051849	0.34538817673330835	0.32226282542541446
I like to hang out with friends and catch up on TV shows.	[' casual conversation yes ', ' TV shows yes ']	[' hobby yes ', ' TV shows yes ']	0.7437032159333583	0.7437032159333583	0.7437032159333583
Actually, yeah, I'm really into cooking. I love trying out new recipes and experimenting with different flavors. How about you?	[' hobbies yes ', ' cooking yes ']	[' hobbies yes ', ' cooking yes ']	0.999999989304921	0.999999989304921	0.999999989304921
It was great.	[' day unknown ']	[' weekend yes ']	0.3203671881852135	0.3203671881852135	0.3203671881852135
Well, it depends on what you're interested in. What are you hoping to see?	[' travel yes ', ' Europe trip planning yes ']	[' travel yes ', ' destination unknown ']	0.8243069733893862	0.6558991188809393	0.7305228918552145
Not really. I don't really watch TV.	[' TV shows no ']	[' TV no ']	0.9046948294226781	0.9046948294226781	0.9046948294226781
Not really, I haven't traveled much lately.	[' travel no ']	[' travel no ']	0.9999999872250708	0.9999999872250708	0.9999999872250708
Actually, no. Sorry, I'm not much of a reader.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
I like a lot of different artists, but I've been listening to a lot of Taylor Swift lately.	[' music yes ', ' singer yes ', ' Taylor Swift yes ']	[' music yes ', ' singer yes ', ' Taylor Swift yes ']	0.9999999913502008	0.9999999913502008	0.9999999913502008
Ugh, no. I hate Sudoku. It's so boring.	[' puzzle games no ']	[' puzzle games no ']	0.9999999949852667	0.9999999949852667	0.9999999949852667
Not really, I try to avoid those kinds of topics. They can be so depressing.	[' news no ']	[' news no ']	0.9999999912586689	0.9999999912586689	0.9999999912586689
Not really, I have been trying to eat less outside food and cook at home more often to stay healthy.	[' food yes ', ' restaurant no ']	[' food no ', ' restaurant no ']	0.8842773017615322	0.8842773017615322	0.8842773017615322
Not really, I find them pretty boring. Sorry.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
I'm afraid I haven't. To be honest, I'm not much of a reader.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
I usually just watch TV or play video games.	[' hobbies no ']	[' entertainment yes ', ' TV shows yes ']	0.3324720560418649	0.32498298618291693	0.32868486711801104
I don't really cook that much.	[' cooking no ']	[' cooking no ']	0.9999999960595128	0.9999999960595128	0.9999999960595128
Eh, I'm not really into basketball.	[' sports no ', ' basketball no ']	[' sports no ', ' basketball no ']	0.9999999864404112	0.9999999864404112	0.9999999864404112
No, I don't. I'm not really a big fan of animals.	[' pets no ', ' pet ownership no ']	[' pets no ']	0.8604685583552911	0.999999977518144	0.9250019792529266
Actually, I haven't watched any good movies recently.	[' movie no ']	[' movie no ']	0.9999999796277829	0.9999999796277829	0.9999999796277829
No, I haven't.	[' movie yes ', ' movie series no ', ' Bourne series no ']	[' TV show no ']	0.5219127423682256	0.5943857233215958	0.5557966662465942
Yummy! I'm a big fan of bacon.	[' food yes ', ' bacon yes ']	[' food yes ', ' bacon yes ']	0.999999997467252	0.999999997467252	0.999999997467252
Honestly, I'm not really into sci-fi movies.	[' movie no ']	[' movie no ', ' genre no ', ' sci-fi no ']	0.9999999796277829	0.785375749398642	0.8797876218772912
No, I haven't. What is it?	[' food yes ', ' Japanese food yes ', ' Okonomiyaki unknown ']	[' TV show yes ', ' TV series unknown ']	0.48252743384792834	0.48997501236670143	0.4862227057364799
It was pretty uneventful. I just stayed at home and watched some TV.	[' weekend yes ', ' TV yes ']	[' weekend no ']	0.4939475774977607	0.7279741873313367	0.5885500965170338
Yeah, I watched it last week. I thought it was a unique concept, but the execution could have been better.	[' movies yes ', ' genre unknown ', ' Yesterday yes ']	[' movie yes ', ' genre unknown ', ' The Farewell yes ']	0.8337719387735288	0.8337719387735288	0.8337719387735288
Mostly vegetables and herbs. I've got some tomatoes, peppers, basil, and thyme.	[' gardening yes ', ' plants yes ', ' vegetables yes ']	[' hobby yes ', ' gardening yes ', ' vegetables yes ']	0.86057100849824	0.8865483144166371	0.8733665377211467
Actually, I find yoga really helpful for reducing stress.	[' mental health yes ', ' yoga yes ']	[' yoga yes ']	0.7500178724237969	0.9999999948158367	0.8571545269061875
I really enjoy sushi. Have you tried any good sushi places around here?	[' restaurant yes ', ' food yes ', ' sushi yes ']	[' food yes ', ' sushi yes ']	0.9055490740629087	0.9999999941910394	0.9504337452011804
Why not? You should definitely start playing again.	[' video games yes ']	[' video games yes ']	0.999999982349641	0.999999982349641	0.999999982349641
Yeah, I did.	[' TV show yes ', ' Black Mirror yes ']	[' TV show yes ', ' TV character yes ', ' Jim and Pam yes ']	0.7495497907372788	0.7792817746399182	0.7641266759986249
No, not really. I've just been staying home a lot since the pandemic.	[' travel no ', ' pandemic no ']	[' travel no ']	0.7000613532510584	0.9999999872250708	0.8235718648972523
Absolutely, it's concerning how much harm we've done to the planet.	[' climate change yes ', ' climate change severity yes ']	[' climate change yes ']	0.930312477024974	0.9999999763260876	0.9638983091942411
Mostly just read books or listen to music. Speaking of which, have you checked out any new albums recently?	[' music yes ']	[' music yes ']	0.9999999818472232	0.9999999818472232	0.9999999818472232
I like classic rock and indie music. The Beatles are my all-time favorite band.	[' music yes ', ' genre yes ', ' The Beatles yes ']	[' music yes ', ' genre yes ', ' The Beatles yes ']	0.9999999876076325	0.9999999876076325	0.9999999876076325
Absolutely. I think movies are great art forms.	[' movie yes ']	[' movies yes ']	0.8915248191252693	0.8915248191252693	0.8915248191252693
It was okay.	[' weekend yes ']	[' weekend no ']	0.7279741873313367	0.7279741873313367	0.7279741873313366
I'm doing alright, thanks.	[' greeting yes ']	[' greeting yes ']	0.999999982467886	0.999999982467886	0.999999982467886
Not really. I just don't watch much TV or movies anymore.	[' TV shows no ']	[' TV shows no ']	0.9999999937532956	0.9999999937532956	0.9999999937532956
No, I'm not really into cooking.	[' cooking shows no ']	[' cooking no ']	0.8855612954023706	0.8855612954023706	0.8855612954023705
Actually, I haven't really been eating out much. Trying to save some money.	[' food no ']	[' food no ']	0.9999999776546105	0.9999999776546105	0.9999999776546105
I am doing good.	[' wellness yes ']	[' personal life yes ']	0.5106900381518883	0.5106900381518883	0.5106900381518883
Yeah, I recently re-watched Forrest Gump. That's a classic.	[' movies yes ', ' classic movies yes ', ' Forrest Gump yes ']	[' movies yes ', ' classic movies yes ', ' Forrest Gump yes ']	0.999999994711079	0.999999994711079	0.999999994711079
Not really. Honestly, I'm not a huge fan of live music.	[' concerts no ']	[' music no ']	0.7188275179821281	0.7188275179821281	0.7188275179821281
"Memento" is a classic thriller that you might like.	[' Movies yes ', ' Memento yes ']	[' movie yes ', ' Memento yes ']	0.9457624061537364	0.9457624061537364	0.9457624061537364
Not really. I'm not much of a sports fan.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
I don't read much, but when I do it's usually non-fiction.	[' books unknown ', ' genre yes ', ' non-fiction yes ']	[' books yes ', ' genre yes ', ' non-fiction yes ']	0.8649647843365452	0.8974865726252131	0.8809256229050714
No, I'm not really into social media.	[' social media no ']	[' social media no ']	0.9999999996312079	0.9999999996312079	0.9999999996312079
I work in accounting. It's pretty boring, honestly.	[' work no ', ' accounting no ']	[' work no ', ' job satisfaction no ']	0.7626419645915059	0.8284520001706797	0.7941859814349358
Yeah, it's hard to beat a good pizza. Anyway, I should probably get going now. It was nice talking to you.	[' end of conversation yes ']	[' food yes ', ' pizza yes ']	0.49735675991726025	0.48678404644071716	0.49201361137158933
I honestly can't think of any.	[' hobbies no ']	[' TV shows no ']	0.4441247510099058	0.4441247510099058	0.4441247510099058
Not really. What kind of documentaries do you usually watch?	[' documentaries no ']	[' documentaries no ']	0.9999999949470185	0.9999999949470185	0.9999999949470185
Oh, I see. Well, I tried this new vegan place near my house last week and loved it.	[' food yes ', ' restaurant yes ']	[' food yes ', ' restaurant yes ', ' vegan yes ']	0.999999995302939	0.8884249717918692	0.9409163542098833
Yeah, pizza is my favorite.	[' restaurant unknown ', ' pizza yes ']	[' food yes ', ' pizza yes ']	0.6906728039184526	0.841853501023821	0.7588063136868505
No, I haven't. But honestly, I'm not really interested in going there.	[' travel yes ', ' Japan no ']	[' travel no ', ' Europe no ']	0.7413048131165876	0.7413048131165876	0.7413048131165875
No, I heard it's not that great.	[' food no ', ' restaurant no ']	[' food no ', ' restaurant no ']	0.9999999807942788	0.9999999807942788	0.9999999807942788
Really? I think you should check it out. It's such a beautiful experience. But okay, how about cooking then? Do you cook a lot?	[' cooking no ']	[' cooking yes ']	0.7944871992246523	0.7944871992246523	0.7944871992246523
Huh, that does sound pretty cool. But I'm not really that into sports so I guess I'll have to check out the highlights later.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
I work in marketing. It's pretty boring to be honest.	[' work no ']	[' work no ', ' marketing no ']	0.9999999899962602	0.7679391432321575	0.8687393373634615
Mostly science fiction and fantasy.	[' hobbies yes ', ' books yes ', ' science fiction yes ']	[' books yes ', ' genre yes ', ' science fiction yes ']	0.8566895632811512	0.8595012875863753	0.8580931221370278
Thanks for the recommendation. I think I will.	[' TV show yes ', ' documentary yes ']	[' movie yes ']	0.6405048340669687	0.6724639261085383	0.6560954205042882
Not really, I don't watch movies that often.	[' movie no ']	[' movie no ']	0.9999999796277829	0.9999999796277829	0.9999999796277829
No, I'm really not into first-person shooter games.	[' video games no ', ' first-person shooter games no ']	[' video games no ', ' first-person shooter games no ']	0.9999999869284033	0.9999999869284033	0.9999999869284033
Hmm, I never really got into sci-fi.	[' books no ', ' genre no ', ' sci-fi novel no ']	[' movie no ', ' sci-fi no ']	0.6550714815343667	0.6767231876146207	0.665721332827736
I love watching TV shows, especially crime dramas.	[' indoor Activities yes ', ' TV Shows yes ', ' crime dramas yes ']	[' TV shows yes ', ' crime dramas yes ']	0.7932708565871208	0.9999999912501476	0.8847195063733103
No, I'm just managing as best as I can.	[' health no ']	[' health no ']	0.9999999967422808	0.9999999967422808	0.9999999967422808
You too.	[' farewell unknown ']	[' goodbye yes ']	0.5167233467541901	0.5167233467541901	0.5167233467541901
No, not really.	[' sports no ']	[' TV shows no ']	0.531661861365478	0.531661861365478	0.531661861365478
No, but I would love to go there someday.	[' travel yes ', ' Japan yes ']	[' travel yes ', ' Japan yes ']	0.9999999841167271	0.9999999841167271	0.9999999841167271
Not really, I'm more of an indoor person.	[' outdoor activities yes   no ']	[' outdoor activities no ']	0.9242736748302657	0.9242736748302657	0.9242736748302657
Yeah, I love playing Call of Duty and Grand Theft Auto.	[' video games yes ', ' game name yes ', ' Call of Duty yes ']	[' video games yes ', ' favorite game yes ', ' Call of Duty yes ']	0.9185094067222327	0.9185094067222327	0.9185094067222327
Not much, just working and spending time with family. How about you?	[' personal life yes ', ' family yes ']	[' personal life yes ', ' family yes ']	0.9999999919460605	0.9999999919460605	0.9999999919460605
Actually, I haven't been keeping up with new music much.	[' music yes ', ' new albums no ']	[' music no ']	0.7077315012657103	0.755824990135444	0.7309880528773917
That's cool. I'm not really into pasta though.	[' food yes ', ' Italian cuisine yes ', ' pasta no ']	[' food yes ', ' Italian food no ']	0.7981831701565997	0.8745476761945183	0.8346223041928679
Actually, no. I'm not really interested in movies anymore.	[' movie no ']	[' movie no ']	0.9999999796277829	0.9999999796277829	0.9999999796277829
Not really. I find them too cliché and predictable.	[' movie no ']	[' movie no ']	0.9999999796277829	0.9999999796277829	0.9999999796277829
Kinda. I enjoy watching the occasional sci-fi show or movie, but I'm not really into it.	[' movie yes ', ' sci-fi unknown ']	[' movie no ']	0.4981502041649335	0.7785914150044275	0.6075708138939749
Not really, I've just been re-watching The Office.	[' TV shows/movies no ', ' TV show yes ', ' The Office yes ']	[' TV show no ', ' The Office yes ']	0.9326429871067714	0.9566516490579349	0.9444947701849391
Yeah, I like a good comedy now and then. What's your favorite comedy movie?	[' movies yes ', ' comedy movies yes ']	[' movies yes ', ' comedy movies yes ']	0.9999999907474819	0.9999999907474819	0.9999999907474819
Yeah, I wasn't a fan either. Let's talk about something else. What are your plans for the weekend?	[' weekend plans yes ']	[' weekend no ']	0.6556064009616972	0.6556064009616972	0.6556064009616972
Workload is too much nowadays.	[' work no ']	[' work no ']	0.9999999899962602	0.9999999899962602	0.9999999899962602
Yeah, you too. See you later!	[' goodbye yes ']	[' goodbye yes ']	0.9999999948937661	0.9999999948937661	0.9999999948937661
Honestly, not really. I've been trying to avoid the news lately. It's just depressing.	[' current events no ']	[' news no ']	0.5706173859157282	0.5706173859157282	0.5706173859157282
Not really. Just the usual boring stuff at work.	[' daily life yes ', ' work no ']	[' work no ']	0.6800936958531542	0.9999999899962602	0.8095901969964668
Not really, just hoping to relax at home.	[' weekend plan no ']	[' weekend no ']	0.8422224162432354	0.8422224162432354	0.8422224162432354
Yes, I have. It was a bit overrated in my opinion.	[' reading yes ', ' The Girl on the Train no ']	[' TV shows yes ', ' Black Mirror no ']	0.4992173381316066	0.4992173381316066	0.4992173381316066
No, I haven't had much time lately to watch anything.	[' movie unknown ', ' Netflix no ']	[' movie no ']	0.6569190017873777	0.6581440523728441	0.6575309564804989
Yeah, you should. It's going to be an amazing event.	[' music yes ', ' music festival excitement yes ']	[' music yes ', ' music festival yes ']	0.9456293791738479	0.9456293791738479	0.9456293791738479
Honestly, I don't like to read books.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
No, not yet. Do you have any suggestions?	[' plans yes ']	[' weekend plans no ']	0.6425384461029727	0.6425384461029727	0.6425384461029727
For several years now, I find it really helps me relax after a long day at work.	[' hobbies yes ', ' video games yes ']	[' hobbies yes ', ' video games yes ']	0.9999999856781553	0.9999999856781553	0.9999999856781553
Honestly, I don't really have a favorite. I like trying different types of food.	[' food unknown ']	[' food no ']	0.6349809994171599	0.6349809994171599	0.6349809994171599
Definitely! Have you heard of The Jinx on HBO?	[' TV shows yes ', ' documentaries yes ', ' The Jinx yes ']	[' TV shows yes ', ' documentary yes ', ' The Jinx yes ']	0.953863087164938	0.953863087164938	0.953863087164938
I've never tried it, actually.	[' food yes ', ' sushi no ']	[' food yes ', ' sushi no ']	0.9999999933869631	0.9999999933869631	0.9999999933869631
No, I haven't.	[' food yes ', ' new restaurant unknown ']	[' TV show no ']	0.25484625008162515	0.3144169675195141	0.28151471114554566
I prefer Italian food.	[' food yes ', ' cuisine yes ', ' Italian food yes ']	[' food yes ', ' Italian food yes ']	0.882341863061345	0.9999999871271011	0.937493741229537
Not really. I've just been focusing on work.	[' travel yes ', ' recent travel no ']	[' hobbies no ']	0.3481075326139672	0.40190172917911204	0.3730754443307824
Yes, I'm reading "Dune" by Frank Herbert.	[' books yes ', ' Dune yes ']	[' books yes ', ' Dune yes ']	0.9999999787260738	0.9999999787260738	0.9999999787260738
Oh,  that's too bad. Goodbye.	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
No, I'm not much of a swimmer.	[' sports no ', ' swimming no ']	[' sports no ', ' swimming no ']	0.9999999870174787	0.9999999870174787	0.9999999870174787
Really? That's cool. Which area of law do you practice in?	[' work yes ', ' practice area yes ']	[' work yes ', ' practice area yes ']	0.9999999874243395	0.9999999874243395	0.9999999874243395
No, I haven't really watched anything good lately.	[' movie yes ', ' recent movie no ']	[' movie no ']	0.8241123411004827	0.8696332671965379	0.846261096374187
No, unfortunately not. You?	[' music yes ', ' instruments unknown ']	[' TV show no ']	0.27341035528986696	0.40392387134439334	0.32609298284866284
Oh, I love Friends too! That's such a great show.	[' TV shows yes ', ' favorite TV show yes ', ' Friends yes ']	[' TV shows yes ', ' favorite TV show yes ', ' Friends yes ']	0.9999999884702024	0.9999999884702024	0.9999999884702024
No, I'm not really a fan of sushi.	[' food no ', ' sushi no ']	[' food no ', ' sushi no ']	0.9999999844381201	0.9999999844381201	0.9999999844381201
I really enjoyed "The Fault in Our Stars".	[' books yes ', ' favorite book yes ', ' The Fault in Our Stars yes ']	[' books yes ', ' favorite book yes ', ' The Fault in Our Stars yes ']	0.9999999865285337	0.9999999865285337	0.9999999865285337
Not really, I think I prefer to stay closer to home. Maybe we should end the conversation for now. Talk to you later!	[' end yes ']	[' conversation no ']	0.2826678988607082	0.2826678988607082	0.2826678988607082
I like reading books and watching documentaries. How about you?	[' free time activities yes ']	[' hobby yes ', ' reading yes ']	0.4939269449657754	0.47675314926381046	0.48518812308721354
Not much, just trying to get through some work.	[' work no ']	[' work no ']	0.9999999899962602	0.9999999899962602	0.9999999899962602
I'm more into Asian food, like sushi and ramen.	[' food yes ', ' Asian food yes ', ' ramen yes ']	[' food yes ', ' Asian food yes ', ' ramen yes ']	0.9999999939965236	0.9999999939965236	0.9999999939965236
Not really, just planning to stay at home and relax.	[' weekend yes ', ' relaxing at home yes ']	[' weekend no ']	0.5705491693952844	0.7279741873313367	0.6397190559130531
I like to read and hike.	[' hobbies yes ', ' hiking yes ']	[' hiking yes ']	0.7651132330261288	0.9999999843939938	0.8669282100828083
Oh, yeah? What kind of food do they serve?	[' food yes ', ' restaurant yes ', ' downtown yes ']	[' food yes ', ' restaurant yes ']	0.8788979116006667	0.999999995302939	0.9355462095551956
Not really, I'm not much of a cook myself.	[' cooking no ']	[' cooking no ']	0.9999999960595128	0.9999999960595128	0.9999999960595128
Nope, no vacation plans. I can't afford to travel right now.	[' vacation no ']	[' travel no ']	0.6952465144566515	0.6952465144566515	0.6952465144566515
I don't really have a favorite character. How about you?	[' TV show yes ', ' TV show character unknown ']	[' TV show yes ', ' TV character unknown ']	0.9739106326191889	0.9739106326191889	0.9739106326191889
Oh, that's cool. But have you heard about the new tax policies that the government has implemented?	[' politics no ', ' tax policies no ']	[' politics no ', ' tax policies no ']	0.9999999968851324	0.9999999968851324	0.9999999968851324
No, I didn't. I'm not really interested in sports.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
Honestly, I try not to follow the news too closely. It can be pretty depressing.	[' news no ']	[' news no ']	0.9999999912586689	0.9999999912586689	0.9999999912586689
Not really, I'm not much of a reader.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
I really love the Legend of Zelda series.	[' video games yes ', ' game series yes ', ' Legend of Zelda yes ']	[' video games yes ', ' video game series yes ', ' Legend of Zelda yes ']	0.9687342484670632	0.9687342484670632	0.9687342484670632
Hmm, I don't really have a sweet tooth. I prefer savoury dishes. Speaking of which, have you tried making homemade pizza before?	[' food yes ', ' homemade food yes ', ' pizza yes ']	[' food yes ', ' cooking yes ', ' pizza yes ']	0.9492852475306671	0.8978150400163449	0.9228330245462967
The Da Vinci Code.	[' hobby yes ', ' book yes ', ' The Da Vinci Code yes ']	[' book yes ', ' The Da Vinci Code yes ']	0.8448305084159461	0.9999999886709031	0.9158895629477523
PS4. Do you play any video games?	[' hobby yes ', ' video game yes ']	[' video games yes ']	0.6645807401788906	0.9265374101905655	0.773995215534308
Actually, no. I don't really celebrate Halloween.	[' holiday no ', ' Halloween party no ']	[' holiday no ', ' Halloween party no ']	0.9999999906609676	0.9999999906609676	0.9999999906609676
Not really. I don't have much interest in traveling to new places.	[' travel no ']	[' travel no ']	0.9999999872250708	0.9999999872250708	0.9999999872250708
Honestly, I don't really play board games that much.	[' board games no ']	[' board games no ']	0.9999999921002074	0.9999999921002074	0.9999999921002074
I love playing video games in my free time. How about you? What do you enjoy doing?	[' hobby yes ', ' video games yes ']	[' hobbies yes ', ' video games yes ']	0.9034924505368713	0.9034924505368713	0.9034924505368713
Not really, I haven't had much time to go to the movies.	[' movie no ']	[' movie no ']	0.9999999796277829	0.9999999796277829	0.9999999796277829
Actually, I have been getting into the horror genre, so I've been reading a lot of Stephen King.	[' books yes ', ' horror genre yes ', ' Stephen King yes ']	[' books yes ', ' genre yes ', ' Stephen King yes ']	0.9618359967090239	0.9618359967090239	0.9618359967090239
Unfortunately, no. I have been cooking at home to save money.	[' food no ']	[' food no ', ' restaurant no ']	0.9999999776546105	0.831211531372724	0.9078268771262633
No, I haven't.	[' food no ', ' burger restaurant no ']	[' TV show no ']	0.39693050393983625	0.451799560816769	0.42259143348768985
Yeah, I've heard exercise can be really helpful for stress. I'm not much of a runner, though.	[' daily life yes ', ' running no ']	[' fitness yes ', ' running no ']	0.7237428013007008	0.7237428013007008	0.7237428013007008
That's cool. So, how is your day going so far?	[' small talk yes ']	[' small talk yes ']	0.9999999900437028	0.9999999900437028	0.9999999900437028
Mostly non-fiction, actually. I'm really interested in history and science.	[' books yes ', ' non-fiction yes ']	[' books yes ', ' genre yes ', ' non-fiction yes ']	0.9999999821594336	0.8745268898981706	0.9330641105573241
You should definitely go! Oh, hey, it's getting late, I have to go now. Talk to you later!	[' boring no ']	[' goodbye yes ']	0.3775952419619908	0.3775952419619908	0.3775952419619908
Nope, I'm not really into sports.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
No way, I'm never trying that. It's way too scary.	[' adventure no ']	[' adventure no ', ' bungee jumping from a tall building no ']	0.9999999873984937	0.7099160377118519	0.8303519217793489
Well, it's just a normal day.	[' daily life yes ', ' activities yes ']	[' daily life yes ']	0.7479901966687574	0.9999999826008408	0.8558288170324919
I liked the concept of dreaming within a dream.	[' movie yes ', ' Inception concept yes ']	[' movie yes ', ' dream within a dream yes ']	0.7007051488587189	0.7007051488587189	0.7007051488587189
Hmm, that does sound interesting. Maybe I'll check it out sometime.	[' movie yes ']	[' movie yes ']	0.9999999906055063	0.9999999906055063	0.9999999906055063
Actually, I haven't had much time to watch anything recently.	[' tv show no ']	[' movie no ']	0.5917623363106721	0.5917623363106721	0.5917623363106721
Yes, I love to travel.	[' travel yes ']	[' travel yes ']	0.9999999753587387	0.9999999753587387	0.9999999753587387
That's understandable. How about movies?	[' movies yes ']	[' movie yes ']	0.8915248191252693	0.8915248191252693	0.8915248191252693
Not really, I'm more of a book person.	[' video games yes ', ' hobbies no ']	[' books yes ']	0.44898289798165064	0.5126607496675278	0.47871352268557527
No, I can't say I have.	[' food yes ', ' restaurant unknown ']	[' TV show no ']	0.24660354904598314	0.3144169675195141	0.27641178096393443
It was kind of boring. I just stayed at home.	[' weekend no ']	[' weekend no ']	0.9999999968275949	0.9999999968275949	0.9999999968275949
I watched a horror movie over the weekend, but it wasn't really my thing.	[' movie no ', ' horror no ']	[' movie no ', ' horror no ']	0.999999988399086	0.999999988399086	0.999999988399086
Sounds good.	[' calendar yes ', ' errands no ']	[' music yes ']	0.3446285587629549	0.48050409427973195	0.40137893678231695
No, I haven't.	[' TV series yes ']	[' TV show no ']	0.749850092374561	0.749850092374561	0.749850092374561
No, I haven't. I'm not really interested in food.	[' food no ', ' new restaurant no ']	[' food no ']	0.8094985281544552	0.9999999776546105	0.8947213910010399
It was pretty boring to be honest.	[' day no ', ' daily life no ', ' boring day no ']	[' weekend no ', ' boring no ']	0.7475746826652562	0.8514093302081465	0.7961206049894218
Hmm, what about outdoor activities? Do you like hiking or camping?	[' outdoor-activities yes ', ' outdoor-activity-type unknown ']	[' outdoor-activities yes ', ' outdoor-activity-type unknown ']	0.999999983181209	0.999999983181209	0.999999983181209
Not really, been pretty busy with work.	[' movie no ']	[' hobbies no ']	0.42704278135732743	0.42704278135732743	0.42704278135732743
I'm not really a foodie, so I don't have any specific preference.	[' food yes ', ' cuisine no ']	[' food no ']	0.7042185528898203	0.7685546195891173	0.7349813700270601
to be honest, I just like to relax at home and watch Netflix.	[' free time yes ', ' relaxing at home yes ', ' Netflix yes ']	[' entertainment yes ', ' Netflix yes ']	0.6745380658428379	0.7729664679080909	0.7204057660158043
Yeah, same here. Take care!	[' boring no ']	[' goodbye yes ']	0.3775952419619908	0.3775952419619908	0.3775952419619908
I usually play first-person shooter games.	[' video games yes ', ' game genre yes ', ' shooter games yes ']	[' video games yes ', ' game genre yes ', ' first-person shooter yes ']	0.9592362509567125	0.9592362509567125	0.9592362509567125
